gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa
6449,1058109,(3:56) (Shotgun) 15-P.Mahomes pass incomplete short right.,KC,BLT,PASS,6,3,3,56,20,10,3,1,2,5,60,4,0,0,0,1,0,0,,0,,,,00-0033873,0,0,SR,,,5,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058110,(3:50) (Shotgun) 15-P.Mahomes pass incomplete short left to 34-S.Perine.,KC,BLT,PASS,4,3,3,50,20,10,3,1,3,5,60,4,0,0,0,1,0,0,,0,,,,00-0033873,0,0,SL,00-0033526,,-1,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058111,"(3:46) 14-M.Araiza punts 40 yards to end zone, Center-41-J.Winchester, Touchback.",KC,BLT,PUNT,9,3,3,46,20,10,3,1,4,5,60,4,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,00-0037284,40,40,1,,0,0,,,,0,,,0,,NA
6449,1058112,(3:37) (Shotgun) 8-L.Jackson pass incomplete short left to 22-D.Henry.,BLT,KC,PASS,4,3,3,37,10,20,1,3,1,10,20,2,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SL,00-0032764,,-4,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058113,"(3:33) 8-L.Jackson pass short right to 7-R.Bateman to BLT 35 for 15 yards (20-J.Reid, 35-Ja.Watson).",BLT,KC,PASS,37,3,3,33,10,20,1,3,2,10,20,2,15,1,1,0,0,0,,0,,,,00-0034796,1,0,SR,00-0036550,,12,00-0034361,00-0037195,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058114,(2:56) (Shotgun) 22-D.Henry right guard to BLT 41 for 6 yards (51-M.Danna).,BLT,KC,RUSH,40,3,2,56,10,20,1,3,1,10,35,2,6,1,0,1,0,0,00-0032764,0,RG,00-0036378,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058115,(2:16) 22-D.Henry right end to BLT 42 for 1 yard (98-T.Wharton).,BLT,KC,RUSH,46,3,2,16,10,20,1,3,2,4,41,3,1,0,0,0,0,0,00-0032764,0,RE,00-0035890,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058116,(1:30) (Shotgun) 8-L.Jackson scrambles right guard to KC 42 for 16 yards (6-B.Cook).,BLT,KC,RUSH,44,3,1,30,10,20,1,3,3,3,42,3,16,1,1,1,0,0,00-0034796,0,RG,00-0037193,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058117,"(:46) (Shotgun) 8-L.Jackson scrambles right end ran ob at KC 13 for 29 yards (22-T.McDuffie).PENALTY on BLT-64-T.Linderbaum, Offensive Holding, 10 yards, enforced at KC 42 - No Play.",BLT,KC,NOPL,35,3,0,46,10,20,1,3,1,10,58,3,0,0,0,1,0,0,,0,,,,00-0034796,0,0,,,,0,,,,,BLT,00-0037825,Offensive Holding,-10,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058118,(:11) (Shotgun) 8-L.Jackson right end to KC 49 for 3 yards (35-Ja.Watson).,BLT,KC,RUSH,11,3,0,11,10,20,1,3,1,20,48,3,3,0,0,1,0,0,00-0034796,0,RE,00-0037195,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058119,"(15:00) (Shotgun) 8-L.Jackson pass deep right to 80-I.Likely for 49 yards, TOUCHDOWN.",BLT,KC,PASS,13,4,15,0,10,20,1,3,2,17,51,3,49,1,1,1,0,6,,0,,,,00-0034796,1,0,DR,00-0037838,,19,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,1,REC,NA
6449,1058120,"9-J.Tucker extra point is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",BLT,KC,FGXP,0,4,14,47,16,20,1,3,0,0,85,5,0,1,0,0,0,1,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,XP,00-0029597,33,1,,,,0,,,0,,,,0,,,0,,NA
6449,1058121,"9-J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback to the KC 30.",KC,BLT,KOFF,0,4,14,47,20,17,3,1,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0029597,65,65,1,,0,0,,NA
6449,1058122,(14:47) (Shotgun) 15-P.Mahomes pass short right to 4-R.Rice pushed ob at KC 38 for 8 yards (21-B.Stephens).,KC,BLT,PASS,31,4,14,47,20,17,3,1,1,10,30,2,8,1,0,1,0,0,,0,,,,00-0033873,1,0,SR,00-0039067,,5,00-0036987,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058123,(14:16) (Shotgun) 10-I.Pacheco right guard to KC 41 for 3 yards (58-M.Pierce; 23-T.Simpson).,KC,BLT,RUSH,39,4,14,16,20,17,3,1,2,2,38,2,3,1,1,1,0,0,00-0037197,0,RG,00-0032574,00-0038504,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058124,(13:37) 15-P.Mahomes pass short right to 83-N.Gray to BLT 46 for 13 yards (32-M.Williams) [58-M.Pierce].,KC,BLT,PASS,40,4,13,37,20,17,3,1,1,10,41,3,13,1,1,0,0,0,,0,,,,00-0033873,1,0,SR,00-0036637,,13,00-0033894,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058125,(12:57) 10-I.Pacheco right tackle to BLT 41 for 5 yards (58-M.Pierce).,KC,BLT,RUSH,36,4,12,57,20,17,3,1,1,10,54,3,5,0,0,0,0,0,00-0037197,0,RT,00-0032574,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058126,(12:21) (Shotgun) 10-I.Pacheco left guard to BLT 39 for 2 yards (99-O.Oweh).,KC,BLT,RUSH,41,4,12,21,20,17,3,1,2,5,59,3,2,0,0,1,0,0,00-0037197,0,LG,00-0036940,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058127,(11:40) (Shotgun) 15-P.Mahomes left end pushed ob at BLT 35 for 4 yards (32-M.Williams).,KC,BLT,RUSH,29,4,11,40,20,17,3,1,3,3,61,4,4,1,1,1,0,0,00-0033873,0,LE,00-0033894,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058128,(11:11) (Shotgun) 10-I.Pacheco left end to BLT 35 for no gain (99-O.Oweh).,KC,BLT,RUSH,39,4,11,11,20,17,3,1,1,10,65,4,0,0,0,1,0,0,00-0037197,0,LE,00-0036940,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058129,"(10:32) (Shotgun) 15-P.Mahomes pass deep right to 1-X.Worthy for 35 yards, TOUCHDOWN.",KC,BLT,PASS,7,4,10,32,20,17,3,1,2,10,65,4,35,1,1,1,0,6,,0,,,,00-0033873,1,0,DR,00-0039894,,21,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,1,REC,NA
6449,1058130,"7-H.Butker extra point is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",KC,BLT,FGXP,0,4,10,25,26,17,3,1,0,0,85,5,0,1,0,0,0,1,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,XP,00-0033303,33,1,,,,0,,,0,,,,0,,,0,,NA
6449,1058131,"7-H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the BLT 30.",BLT,KC,KOFF,0,4,10,25,17,27,1,3,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0033303,65,65,1,,0,0,,NA
6449,1058132,(10:25) 4-Z.Flowers right end to BLT 38 for 8 yards (23-D.Tranquill).,BLT,KC,RUSH,39,4,10,25,17,27,1,3,1,10,30,2,8,1,0,0,0,0,00-0039064,0,RE,00-0035262,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058133,(9:46) (Shotgun) 8-L.Jackson pass short left to 80-I.Likely to BLT 42 for 4 yards (6-B.Cook; 51-M.Danna).,BLT,KC,PASS,27,4,9,46,17,27,1,3,2,2,38,2,4,1,1,1,0,0,,0,,,,00-0034796,1,0,SL,00-0037838,,-3,00-0037193,00-0036378,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058134,"(9:19) (No Huddle, Shotgun) 8-L.Jackson left end to KC 49 for 9 yards (98-T.Wharton).",BLT,KC,RUSH,39,4,9,19,17,27,1,3,1,10,42,3,9,1,0,1,1,0,00-0034796,0,LE,00-0035890,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058135,"(8:40) (No Huddle, Shotgun) 22-D.Henry right guard to KC 44 for 5 yards (51-M.Danna).",BLT,KC,RUSH,24,4,8,40,17,27,1,3,2,1,51,3,5,1,1,1,1,0,00-0032764,0,RG,00-0036378,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058136,"(8:16) (No Huddle, Shotgun) 8-L.Jackson right end to KC 31 for 13 yards (35-Ja.Watson; 95-C.Jones).",BLT,KC,RUSH,31,4,8,16,17,27,1,3,1,10,56,3,13,1,1,1,1,0,00-0034796,0,RE,00-0037195,00-0032762,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058137,"(7:45) (No Huddle, Shotgun) 8-L.Jackson pass incomplete deep left to 7-R.Bateman.",BLT,KC,PASS,7,4,7,45,17,27,1,3,1,10,69,4,0,0,0,1,1,0,,0,,,,00-0034796,0,0,DL,00-0036550,,31,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058138,(7:38) (Shotgun) 8-L.Jackson pass short left to 15-N.Agholor to KC 25 for 6 yards (6-B.Cook).,BLT,KC,PASS,25,4,7,38,17,27,1,3,2,10,69,4,6,1,0,1,0,0,,0,,,,00-0034796,1,0,SL,00-0031549,,6,00-0037193,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058139,"(7:13) (No Huddle, Shotgun) 8-L.Jackson pass short right to 89-M.Andrews to KC 22 for 3 yards (27-C.Conner).",BLT,KC,PASS,39,4,7,13,17,27,1,3,3,4,75,4,3,0,0,1,1,0,,0,,,,00-0034796,1,0,SR,00-0034753,,3,00-0038982,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058140,(6:34) 22-D.Henry left guard to KC 20 for 2 yards (20-J.Reid; 69-M.Pennel).,BLT,KC,RUSH,44,4,6,34,17,27,1,3,4,1,78,4,2,1,1,0,0,0,00-0032764,0,LG,00-0034361,00-0030757,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058141,(5:50) (Shotgun) 8-L.Jackson scrambles right end ran ob at KC 16 for 4 yards (35-Ja.Watson; 54-L.Chenal).,BLT,KC,RUSH,35,4,5,50,17,27,1,3,1,10,80,5,4,0,0,1,0,0,00-0034796,0,RE,00-0037195,00-0037819,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058142,(5:15) (Shotgun) 8-L.Jackson pass incomplete short right.,BLT,KC,PASS,9,4,5,15,17,27,1,3,2,6,84,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SR,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058143,"(5:06) (Shotgun) 8-L.Jackson scrambles left guard to KC 14 for 2 yards (54-L.Chenal).Penalty on BLT-7-R.Bateman, Illegal Formation, declined.",BLT,KC,RUSH,8,4,5,6,17,27,1,3,3,6,84,5,2,0,0,1,0,0,00-0034796,0,LG,00-0037819,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058144,"(4:58) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",BLT,KC,FGXP,4,4,4,58,17,27,1,3,4,4,86,5,0,1,0,0,0,3,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,FG,00-0029597,32,1,,,,0,,,0,,,,0,,,0,,NA
6449,1058145,"9-J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback to the KC 30.",KC,BLT,KOFF,0,4,4,54,27,20,3,1,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0029597,65,65,1,,0,0,,NA
6449,1058146,(4:54) 10-I.Pacheco right tackle to KC 35 for 5 yards (39-E.Jackson).,KC,BLT,RUSH,40,4,4,54,27,20,3,1,1,10,30,2,5,0,0,0,0,0,00-0037197,0,RT,00-0033784,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058147,"(4:14) (Shotgun) PENALTY on KC-74-J.Taylor, False Start, 5 yards, enforced at KC 35 - No Play.",KC,BLT,NOPL,0,4,4,14,27,20,3,1,2,5,35,2,0,0,0,1,0,0,,0,,,,,0,0,,,,,,,,,KC,00-0035237,False Start,-5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058148,"(4:14) (Shotgun) 15-P.Mahomes scrambles right end pushed ob at KC 49 for 19 yards (0-R.Smith).Penalty on KC-4-R.Rice, Offensive Holding, offsetting, enforced at KC 30 - No Play.Penalty on BLT-32-M.Williams, Unnecessary Roughness, offsetting.",KC,BLT,NOPL,8,4,4,14,27,20,3,1,2,10,30,2,0,0,0,1,0,0,,0,,,,00-0033873,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058149,(4:06) (Shotgun) 15-P.Mahomes pass short right to 10-I.Pacheco to KC 40 for 10 yards (2-N.Wiggins).,KC,BLT,PASS,37,4,4,6,27,20,3,1,2,10,30,2,10,1,1,1,0,0,,0,,,,00-0033873,1,0,SR,00-0037197,,-3,00-0039232,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058150,"(3:29) (No Huddle, Shotgun) 10-I.Pacheco right guard to KC 42 for 2 yards (98-T.Jones).",KC,BLT,RUSH,42,4,3,29,27,20,3,1,1,10,40,3,2,0,0,1,1,0,00-0037197,0,RG,00-0037756,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058151,(2:47) 42-C.Steele left end to KC 40 for -2 yards (0-R.Smith).,KC,BLT,RUSH,11,4,2,47,27,20,3,1,2,8,42,3,-2,0,0,0,0,0,00-0039325,0,LE,00-0034874,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058152,Timeout #3 by BLT at 02:36.,NA,NA,NOPL,0,4,2,36,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058153,(2:36) (Shotgun) 15-P.Mahomes pass short middle to 15-P.Mahomes to KC 42 for 2 yards (99-O.Oweh).,KC,BLT,PASS,36,4,2,36,27,20,3,0,3,10,40,3,2,0,0,1,0,0,,0,,,,00-0033873,1,0,SM,00-0033873,,-1,00-0036940,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058154,"(2:00) 14-M.Araiza punts 48 yards to BLT 10, Center-41-J.Winchester. 3-D.Harty to BLT 13 for 3 yards (13-N.Johnson).",KC,BLT,PUNT,10,4,2,0,27,20,3,0,4,8,42,3,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,00-0037284,48,45,0,00-0035215,3,0,,,,0,,,0,,NA
6449,1058155,(1:50) (Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at BLT 21 for 8 yards (35-Ja.Watson).,BLT,KC,PASS,5,4,1,50,20,27,0,3,1,10,13,1,8,1,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0037838,,5,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058156,(1:45) (Shotgun) 8-L.Jackson scrambles right end pushed ob at BLT 30 for 9 yards (27-C.Conner).,BLT,KC,RUSH,8,4,1,45,20,27,0,3,2,2,21,2,9,1,1,1,0,0,00-0034796,0,RE,00-0038982,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058157,(1:37) (Shotgun) 8-L.Jackson pass incomplete deep left to 7-R.Bateman.,BLT,KC,PASS,6,4,1,37,20,27,0,3,1,10,30,2,0,0,0,1,0,0,,0,,,,00-0034796,0,0,DL,00-0036550,,40,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058158,(1:31) (Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at BLT 38 for 8 yards (35-Ja.Watson).,BLT,KC,PASS,5,4,1,31,20,27,0,3,2,10,30,2,8,1,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0037838,,3,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058159,(1:26) (Shotgun) 8-L.Jackson scrambles up the middle to BLT 41 for 3 yards (32-N.Bolton). KC-54-L.Chenal was injured during the play.,BLT,KC,RUSH,15,4,1,26,20,27,0,3,3,2,38,2,3,1,1,1,0,0,00-0034796,0,RM,00-0036621,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058160,Timeout #1 by KC at 01:11.,NA,NA,NOPL,0,4,1,11,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058161,(1:11) (Shotgun) 8-L.Jackson pass short right to 43-J.Hill to BLT 48 for 7 yards (32-N.Bolton).,BLT,KC,PASS,24,4,1,11,20,27,0,2,1,10,41,3,7,0,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0034975,,0,00-0036621,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058162,"(:47) (No Huddle, Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at KC 48 for 4 yards (35-Ja.Watson).",BLT,KC,PASS,4,4,0,47,20,27,0,2,2,3,48,3,4,1,1,1,1,0,,0,,,,00-0034796,1,0,SR,00-0037838,,1,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058163,(:43) (Shotgun) 8-L.Jackson pass deep right to 7-R.Bateman to KC 10 for 38 yards (6-B.Cook).,BLT,KC,PASS,25,4,0,43,20,27,0,2,1,10,52,3,38,1,1,1,0,0,,0,,,,00-0034796,1,0,DR,00-0036550,,36,00-0037193,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058164,"(:18) (No Huddle, Shotgun) 8-L.Jackson pass incomplete short left to 80-I.Likely. BLT-80-I.Likely was injured during the play.",BLT,KC,PASS,8,4,0,18,20,27,0,2,1,10,90,5,0,0,0,1,1,0,,0,,,,00-0034796,0,0,SL,00-0037838,,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058165,Timeout #4 by BLT at 00:10.,NA,NA,NOPL,0,4,0,10,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058166,(:10) (Shotgun) 8-L.Jackson pass incomplete short middle to 4-Z.Flowers. ** Injury Update: KC-54-L.Chenal has returned to the game.,BLT,KC,PASS,5,4,0,10,20,27,0,2,2,10,90,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SM,00-0039064,,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058167,"(:05) (Shotgun) 8-L.Jackson pass short middle to 80-I.Likely for 10 yards, TOUCHDOWN.The Replay Official reviewed the pass completion ruling, and the play was REVERSED.(Shotgun) 8-L.Jackson pass incomplete short middle to 80-I.Likely (32-N.Bolton). ** Injury Update: BLT-80-I.Likely has returned to the game.",BLT,KC,PASS,-3595,4,0,5,20,27,0,2,3,10,90,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SM,00-0037838,00-0036621,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
